region,timestamp,traffic_gbps,active_users,peak_utilization_percent
US-EAST-01,2026-07-12 11:30:00,766.5,60510,90
ASIA-PAC,2026-07-11 01:15:00,471.0,94828,89
EMEA-EAST,2026-07-29 00:45:00,278.3,92164,90
ASIA-SOUTH,2026-07-16 07:45:00,397.1,62308,64
US-EAST-01,2026-07-27 10:45:00,754.8,99446,90
ASIA-PAC,2026-07-14 02:00:00,691.8,139658,80
ASIA-PAC,2026-07-13 13:45:00,990.0,78321,90
US-EAST-01,2026-07-12 03:15:00,383.9,59274,67
US-SOUTH-01,2026-07-14 05:15:00,397.9,136433,50
ASIA-PAC,2026-07-31 08:45:00,787.1,163538,90
EMEA-EAST,2026-07-12 06:45:00,428.1,51003,61
ASIA-PAC,2026-07-23 05:30:00,371.8,158602,57
EMEA-EAST,2026-07-27 12:00:00,538.2,33404,80
EMEA-EAST,2026-07-12 07:45:00,168.2,145362,53
US-EAST-01,2026-07-19 18:45:00,157.2,29308,70
US-SOUTH-01,2026-07-23 04:15:00,866.9,111781,90
ASIA-PAC,2026-07-23 02:30:00,878.3,106653,90
ASIA-PAC,2026-07-24 20:00:00,981.3,110582,90
US-EAST-01,2026-07-18 09:00:00,455.9,41246,61
US-SOUTH-01,2026-07-19 15:45:00,1003.7,97208,90
EMEA-WEST,2026-07-22 01:45:00,168.2,36157,70
ASIA-PAC,2026-07-30 05:00:00,710.4,37192,90
ASIA-SOUTH,2026-07-31 23:00:00,750.5,72380,90
ASIA-SOUTH,2026-07-27 22:30:00,480.0,52920,91
US-SOUTH-01,2026-07-31 11:15:00,291.1,25606,46
US-SOUTH-01,2026-07-30 12:30:00,726.0,117682,90
ASIA-PAC,2026-07-11 04:00:00,635.8,162207,94
ASIA-PAC,2026-07-18 14:45:00,378.7,190105,57
US-EAST-01,2026-07-12 15:15:00,519.5,69431,89
US-EAST-01,2026-07-29 09:00:00,605.4,38947,80
US-SOUTH-01,2026-07-29 04:30:00,402.9,106468,48
ASIA-PAC,2026-07-30 15:00:00,348.6,34329,84
EMEA-EAST,2026-07-31 16:30:00,563.6,63381,80
US-SOUTH-01,2026-07-12 15:30:00,937.5,83436,90
ASIA-SOUTH,2026-07-27 23:00:00,235.2,89686,70
US-EAST-01,2026-07-16 05:30:00,888.9,128440,90
ASIA-PAC,2026-07-28 04:00:00,824.9,152160,90
ASIA-PAC,2026-07-19 19:45:00,528.3,44647,80
ASIA-SOUTH,2026-07-31 09:00:00,528.3,162823,94
US-WEST-01,2026-07-20 02:30:00,154.6,158891,65
EMEA-WEST,2026-07-21 12:30:00,791.8,69383,96
ASIA-PAC,2026-07-13 14:45:00,524.9,146597,92
US-EAST-01,2026-07-18 20:15:00,754.0,157408,90
US-SOUTH-01,2026-07-27 15:45:00,628.9,72764,80
US-SOUTH-01,2026-07-23 21:30:00,413.9,143426,73
US-WEST-01,2026-07-14 13:30:00,846.7,50811,90
ASIA-PAC,2026-07-10 14:30:00,741.2,27193,96
ASIA-PAC,2026-07-10 21:30:00,447.0,26879,50
ASIA-SOUTH,2026-07-12 22:45:00,539.8,66721,80
US-EAST-01,2026-07-15 21:30:00,446.5,126189,47
EMEA-EAST,2026-07-29 03:45:00,717.7,55556,90
ASIA-PAC,2026-07-17 02:00:00,231.0,185376,63
EMEA-WEST,2026-07-12 18:30:00,781.3,75676,90
US-EAST-01,2026-07-14 07:45:00,644.0,89512,87
EMEA-WEST,2026-07-15 22:15:00,638.6,122461,80
US-WEST-01,2026-07-24 02:45:00,645.0,55155,88
ASIA-PAC,2026-07-22 03:45:00,464.0,58979,63
US-EAST-01,2026-07-22 16:45:00,824.8,38219,97
EMEA-WEST,2026-07-23 19:45:00,571.2,46641,80
US-EAST-01,2026-07-13 18:30:00,889.9,80718,90
US-SOUTH-01,2026-07-29 10:30:00,925.1,178218,90
ASIA-PAC,2026-07-12 17:15:00,379.6,92028,93
ASIA-PAC,2026-07-13 19:00:00,968.5,130319,90
US-EAST-01,2026-07-21 08:00:00,621.4,155548,80
EMEA-WEST,2026-07-31 11:30:00,551.2,103673,80
EMEA-WEST,2026-07-30 18:30:00,174.7,130975,70
ASIA-PAC,2026-07-13 15:00:00,352.8,180727,94
EMEA-EAST,2026-07-26 16:45:00,836.9,154780,90
US-WEST-01,2026-07-11 02:00:00,563.5,111986,80
US-SOUTH-01,2026-07-25 02:15:00,314.9,156142,57
US-EAST-01,2026-07-12 14:45:00,344.4,103994,57
ASIA-PAC,2026-07-15 10:45:00,977.6,191346,98
ASIA-PAC,2026-07-27 09:30:00,1004.1,36611,90
US-SOUTH-01,2026-07-27 18:45:00,946.1,50046,90
ASIA-PAC,2026-07-26 21:30:00,545.2,42312,80
US-SOUTH-01,2026-07-12 23:15:00,614.3,153990,80
ASIA-PAC,2026-07-18 10:15:00,674.2,197417,82
US-EAST-01,2026-07-29 23:00:00,184.3,65752,70
US-SOUTH-01,2026-07-27 12:15:00,499.7,26797,81
ASIA-SOUTH,2026-07-12 21:45:00,308.5,52213,95
EMEA-WEST,2026-07-22 21:45:00,646.4,35265,80
ASIA-PAC,2026-07-11 05:45:00,458.4,115159,46
US-WEST-01,2026-07-16 00:00:00,513.6,73351,81
US-EAST-01,2026-07-18 20:15:00,411.3,158362,90
US-EAST-01,2026-07-30 05:00:00,379.7,71003,64
EMEA-WEST,2026-07-24 15:45:00,485.1,147558,89
ASIA-PAC,2026-07-20 06:00:00,749.1,108208,90
US-SOUTH-01,2026-07-25 11:45:00,768.6,113949,90
EMEA-WEST,2026-07-17 09:30:00,668.6,110627,80
US-WEST-01,2026-07-28 09:00:00,186.6,133804,52
EMEA-EAST,2026-07-21 06:15:00,200.4,161425,61
ASIA-PAC,2026-07-27 08:45:00,461.2,115580,60
ASIA-SOUTH,2026-07-30 16:15:00,205.2,22672,70
EMEA-WEST,2026-07-26 18:00:00,310.6,115760,65
ASIA-SOUTH,2026-07-22 20:45:00,703.0,84993,90
ASIA-SOUTH,2026-07-29 19:00:00,184.1,56078,69
ASIA-PAC,2026-07-28 23:00:00,924.4,33240,90
US-SOUTH-01,2026-07-31 22:15:00,777.1,83937,90
US-EAST-01,2026-07-12 23:45:00,527.4,78209,80
US-SOUTH-01,2026-07-29 21:15:00,638.5,118383,92
ASIA-SOUTH,2026-07-23 14:45:00,898.6,140659,90
ASIA-PAC,2026-07-10 01:30:00,613.6,94031,80
ASIA-SOUTH,2026-07-11 00:30:00,836.6,85134,90
US-SOUTH-01,2026-07-23 00:15:00,338.7,25464,84
EMEA-EAST,2026-07-20 08:30:00,655.1,87071,80
US-EAST-01,2026-07-18 13:45:00,382.1,98718,77
ASIA-PAC,2026-07-11 17:00:00,410.8,139916,73
US-WEST-01,2026-07-28 03:30:00,565.9,170248,80
US-EAST-01,2026-07-31 10:30:00,565.5,161056,90
ASIA-PAC,2026-07-26 11:00:00,382.7,161193,71
US-SOUTH-01,2026-07-29 03:15:00,322.4,136554,76
ASIA-PAC,2026-07-14 15:15:00,444.0,49442,76
US-EAST-01,2026-07-18 01:15:00,556.4,41135,98
ASIA-SOUTH,2026-07-29 22:00:00,839.4,42872,90
US-SOUTH-01,2026-07-20 17:45:00,769.2,186833,90
EMEA-WEST,2026-07-21 13:45:00,152.3,33446,63
ASIA-PAC,2026-07-20 06:00:00,384.5,39097,90
ASIA-SOUTH,2026-07-19 09:15:00,203.2,48128,64
US-EAST-01,2026-07-21 21:30:00,302.5,119975,69
US-EAST-01,2026-07-14 16:15:00,192.4,153925,61
US-SOUTH-01,2026-07-13 14:30:00,692.2,135044,80
ASIA-PAC,2026-07-26 06:45:00,621.1,179130,80
US-WEST-01,2026-07-23 09:30:00,205.7,115061,46
US-SOUTH-01,2026-07-14 02:00:00,402.9,168491,84
US-EAST-01,2026-07-31 09:15:00,505.4,137295,80
ASIA-SOUTH,2026-07-30 06:45:00,226.8,122869,70
ASIA-PAC,2026-07-21 05:30:00,832.0,125661,90
US-SOUTH-01,2026-07-29 03:30:00,679.8,174945,80
US-EAST-01,2026-07-24 22:15:00,315.5,104840,87
EMEA-WEST,2026-07-26 16:15:00,128.4,167807,56
EMEA-WEST,2026-07-29 14:45:00,830.4,163432,90
ASIA-PAC,2026-07-30 07:00:00,921.0,35682,90
US-SOUTH-01,2026-07-10 14:45:00,236.6,97870,70
US-EAST-01,2026-07-31 09:45:00,514.2,156770,83
ASIA-PAC,2026-07-22 07:45:00,405.3,58743,54
US-EAST-01,2026-07-10 02:15:00,257.5,102026,90
ASIA-PAC,2026-07-18 17:30:00,592.7,43809,80
US-WEST-01,2026-07-14 01:45:00,872.4,74958,90
US-EAST-01,2026-07-22 21:45:00,367.4,98862,65
EMEA-EAST,2026-07-29 17:45:00,797.9,127495,90
US-EAST-01,2026-07-10 00:45:00,482.7,73243,46
ASIA-PAC,2026-07-18 19:00:00,311.1,26117,63
US-SOUTH-01,2026-07-29 09:15:00,427.2,44124,67
US-EAST-01,2026-07-31 19:00:00,768.0,118448,90
US-EAST-01,2026-07-27 23:15:00,717.7,153526,90
US-WEST-01,2026-07-19 00:45:00,874.8,111957,90
ASIA-PAC,2026-07-11 15:15:00,556.7,112199,92
US-EAST-01,2026-07-17 14:30:00,157.7,153376,70
US-WEST-01,2026-07-17 14:30:00,423.9,170459,60
US-WEST-01,2026-07-19 12:00:00,251.2,48923,98
US-SOUTH-01,2026-07-30 00:30:00,663.6,166803,80
ASIA-PAC,2026-07-25 23:15:00,394.6,120283,95
US-WEST-01,2026-07-11 22:45:00,734.3,45816,90
US-EAST-01,2026-07-17 00:00:00,655.7,43463,80
US-EAST-01,2026-07-30 13:45:00,233.4,117484,70
EMEA-WEST,2026-07-21 20:45:00,473.0,153005,58
ASIA-PAC,2026-07-14 12:00:00,557.0,191806,80
EMEA-WEST,2026-07-19 19:30:00,746.3,43974,90
ASIA-PAC,2026-07-28 22:15:00,626.9,173647,80
US-SOUTH-01,2026-07-12 16:15:00,774.2,147910,90
US-SOUTH-01,2026-07-23 21:30:00,395.6,108989,50
ASIA-PAC,2026-07-25 12:15:00,965.3,72524,97
US-SOUTH-01,2026-07-13 18:00:00,996.9,87935,90
US-WEST-01,2026-07-21 10:00:00,552.5,37321,83
ASIA-SOUTH,2026-07-17 14:30:00,423.9,157284,79
ASIA-SOUTH,2026-07-14 19:15:00,685.9,155402,83
ASIA-PAC,2026-07-30 05:15:00,283.7,125528,93
US-EAST-01,2026-07-28 06:00:00,324.4,85651,88
US-EAST-01,2026-07-21 04:45:00,263.6,25648,70
US-SOUTH-01,2026-07-11 21:15:00,404.6,160567,69
US-EAST-01,2026-07-14 14:30:00,659.6,102399,80
ASIA-PAC,2026-07-24 08:15:00,1039.2,181392,90
EMEA-WEST,2026-07-14 11:45:00,881.4,138809,92
EMEA-EAST,2026-07-13 15:30:00,321.1,30344,92
ASIA-PAC,2026-07-19 15:45:00,942.7,81193,90
US-EAST-01,2026-07-26 08:30:00,230.1,95454,55
ASIA-PAC,2026-07-29 22:15:00,674.1,24122,87
US-SOUTH-01,2026-07-29 00:45:00,711.0,105841,90
ASIA-SOUTH,2026-07-11 20:00:00,810.9,65469,90
EMEA-WEST,2026-07-17 18:45:00,285.4,113492,63
ASIA-SOUTH,2026-07-24 03:00:00,515.1,172302,80
ASIA-PAC,2026-07-21 20:15:00,901.0,53893,90
US-EAST-01,2026-07-24 16:45:00,640.5,83323,97
US-SOUTH-01,2026-07-23 12:00:00,760.1,79163,90
EMEA-EAST,2026-07-13 04:45:00,669.7,149578,89
EMEA-EAST,2026-07-18 10:15:00,665.5,43252,80
ASIA-PAC,2026-07-17 06:15:00,960.8,119362,90
EMEA-EAST,2026-07-19 02:45:00,801.2,125496,90
ASIA-SOUTH,2026-07-16 04:15:00,844.0,167756,90
US-EAST-01,2026-07-13 17:45:00,160.8,60413,70
US-EAST-01,2026-07-25 12:15:00,466.5,34024,57
ASIA-PAC,2026-07-20 12:30:00,1044.0,121596,90
ASIA-SOUTH,2026-07-31 03:45:00,439.6,104072,49
EMEA-EAST,2026-07-30 07:45:00,506.0,155309,94
US-WEST-01,2026-07-11 20:15:00,499.0,26921,68
US-SOUTH-01,2026-07-15 15:30:00,385.1,101070,50
ASIA-PAC,2026-07-14 21:30:00,305.3,113097,47
ASIA-PAC,2026-07-18 04:15:00,659.2,49707,86
ASIA-SOUTH,2026-07-12 11:30:00,587.3,50911,80
US-EAST-01,2026-07-23 00:30:00,490.5,58536,66
EMEA-EAST,2026-07-18 02:00:00,246.2,40930,70
ASIA-PAC,2026-07-19 02:00:00,643.9,131629,87
US-SOUTH-01,2026-07-21 08:45:00,1033.5,104799,90
US-EAST-01,2026-07-18 01:30:00,213.4,33426,51
US-SOUTH-01,2026-07-21 02:00:00,586.2,115559,80
US-WEST-01,2026-07-27 05:30:00,388.7,59278,65
ASIA-PAC,2026-07-14 02:30:00,379.6,80092,85
ASIA-PAC,2026-07-30 21:15:00,486.3,106986,50
ASIA-SOUTH,2026-07-16 01:30:00,142.5,31403,56
ASIA-SOUTH,2026-07-25 02:45:00,563.6,109584,80
US-EAST-01,2026-07-30 17:00:00,322.2,86934,71
ASIA-PAC,2026-07-30 14:15:00,618.5,156145,80
ASIA-PAC,2026-07-19 11:00:00,501.3,167153,99
US-SOUTH-01,2026-07-21 11:45:00,607.4,67261,86
ASIA-SOUTH,2026-07-23 15:15:00,725.2,46593,90
ASIA-PAC,2026-07-30 00:45:00,610.2,193254,83
ASIA-PAC,2026-07-14 22:30:00,648.0,180495,94
US-EAST-01,2026-07-30 08:30:00,685.1,62278,80
US-SOUTH-01,2026-07-18 22:30:00,414.8,66213,47
US-EAST-01,2026-07-16 07:00:00,556.5,34171,88
ASIA-PAC,2026-07-27 19:45:00,746.5,140290,90
ASIA-PAC,2026-07-28 22:45:00,587.4,177503,80
US-SOUTH-01,2026-07-14 19:15:00,588.0,168948,97
US-SOUTH-01,2026-07-12 10:45:00,229.5,37005,70
US-EAST-01,2026-07-29 03:30:00,483.9,141161,50
ASIA-SOUTH,2026-07-13 17:30:00,517.4,88396,80
ASIA-PAC,2026-07-29 09:30:00,623.3,90462,80
EMEA-WEST,2026-07-22 16:00:00,470.1,65251,62
US-WEST-01,2026-07-10 05:30:00,864.5,148292,90
ASIA-SOUTH,2026-07-14 23:15:00,633.9,161996,88
ASIA-PAC,2026-07-16 17:45:00,651.5,182581,91
ASIA-PAC,2026-07-28 05:30:00,397.3,186861,69
US-SOUTH-01,2026-07-22 16:15:00,957.5,148342,90
US-EAST-01,2026-07-25 02:30:00,299.2,108514,88
ASIA-SOUTH,2026-07-13 21:30:00,630.8,62250,80
US-EAST-01,2026-07-26 20:15:00,416.2,125394,51
ASIA-PAC,2026-07-28 22:45:00,952.7,174346,90
EMEA-WEST,2026-07-27 08:30:00,634.3,166833,80
US-EAST-01,2026-07-31 11:00:00,807.9,157958,93
ASIA-SOUTH,2026-07-26 20:45:00,655.6,21091,90
US-SOUTH-01,2026-07-30 16:45:00,462.9,152702,63
ASIA-PAC,2026-07-14 15:45:00,303.1,85425,70
ASIA-SOUTH,2026-07-23 09:15:00,324.0,23585,51
US-SOUTH-01,2026-07-12 22:15:00,937.2,63724,90
EMEA-WEST,2026-07-14 10:30:00,343.3,90741,57
US-EAST-01,2026-07-28 14:45:00,155.9,45296,70
ASIA-PAC,2026-07-14 02:00:00,866.8,156874,90
US-EAST-01,2026-07-16 17:15:00,222.4,179852,64
US-WEST-01,2026-07-28 19:15:00,858.8,47839,94
US-SOUTH-01,2026-07-21 13:00:00,848.0,115042,95
US-SOUTH-01,2026-07-30 05:45:00,846.0,90363,90
ASIA-PAC,2026-07-14 14:30:00,957.0,171953,90
US-EAST-01,2026-07-29 22:45:00,752.1,49532,90
ASIA-PAC,2026-07-12 16:15:00,427.3,188843,73
US-EAST-01,2026-07-17 10:00:00,684.8,149618,80
ASIA-SOUTH,2026-07-19 23:00:00,801.3,73261,90
ASIA-PAC,2026-07-20 18:45:00,826.7,27486,90
US-SOUTH-01,2026-07-16 04:00:00,473.5,174612,55
US-SOUTH-01,2026-07-29 17:45:00,1106.7,86050,90
US-EAST-01,2026-07-31 16:00:00,769.6,106279,90
EMEA-WEST,2026-07-27 20:15:00,502.8,126749,98
ASIA-PAC,2026-07-10 10:15:00,799.2,176992,90
US-SOUTH-01,2026-07-15 09:30:00,477.3,110597,58
US-SOUTH-01,2026-07-31 00:15:00,308.4,103485,48
US-WEST-01,2026-07-21 21:15:00,529.8,122715,81
US-WEST-01,2026-07-17 11:30:00,200.4,153208,53
ASIA-PAC,2026-07-22 07:30:00,454.2,80139,79
US-SOUTH-01,2026-07-17 10:15:00,467.2,185450,67
US-SOUTH-01,2026-07-14 12:15:00,475.5,144483,94
US-EAST-01,2026-07-25 01:15:00,146.0,35955,70
EMEA-WEST,2026-07-21 02:30:00,178.4,163255,46
ASIA-PAC,2026-07-29 03:00:00,712.8,123050,94
EMEA-WEST,2026-07-28 17:00:00,850.6,77518,90
US-EAST-01,2026-07-10 08:45:00,192.9,65120,70
EMEA-EAST,2026-07-14 03:30:00,815.4,64586,94
ASIA-PAC,2026-07-28 16:15:00,472.8,101828,47
ASIA-PAC,2026-07-19 21:45:00,383.1,89747,92
ASIA-SOUTH,2026-07-23 19:15:00,745.3,95820,92
US-WEST-01,2026-07-15 20:00:00,263.2,112677,60
EMEA-EAST,2026-07-27 04:30:00,449.1,94462,94
US-EAST-01,2026-07-20 04:45:00,191.5,174957,49
ASIA-PAC,2026-07-14 14:00:00,981.6,39723,96
ASIA-SOUTH,2026-07-22 08:30:00,767.9,170338,90
US-WEST-01,2026-07-11 17:15:00,438.3,164036,84
EMEA-WEST,2026-07-11 22:00:00,150.6,102811,70
US-SOUTH-01,2026-07-24 20:45:00,539.5,195063,80
ASIA-PAC,2026-07-16 06:30:00,517.3,144930,80
US-EAST-01,2026-07-12 17:15:00,829.0,129056,90
US-WEST-01,2026-07-11 11:30:00,463.3,63481,66
US-WEST-01,2026-07-19 07:00:00,544.8,104439,89
US-EAST-01,2026-07-27 09:00:00,400.4,77012,90
ASIA-PAC,2026-07-24 03:30:00,449.7,149249,51
ASIA-PAC,2026-07-20 23:30:00,959.4,151082,90
EMEA-WEST,2026-07-12 12:00:00,665.8,146298,88
US-EAST-01,2026-07-22 18:45:00,451.1,73150,89
ASIA-SOUTH,2026-07-30 01:30:00,185.1,24741,70
ASIA-PAC,2026-07-24 01:15:00,492.4,122065,71
US-EAST-01,2026-07-20 02:00:00,706.8,175620,90
ASIA-SOUTH,2026-07-23 06:30:00,679.8,116113,80
US-WEST-01,2026-07-13 13:00:00,782.7,101370,90
EMEA-WEST,2026-07-29 11:00:00,569.1,97468,80
ASIA-PAC,2026-07-26 08:15:00,471.0,123968,90
US-EAST-01,2026-07-31 17:15:00,857.4,76307,94
US-SOUTH-01,2026-07-13 22:15:00,455.5,34298,51
ASIA-SOUTH,2026-07-16 16:45:00,275.9,35158,58
US-EAST-01,2026-07-16 16:15:00,759.8,22403,97
ASIA-PAC,2026-07-20 21:45:00,599.3,184995,80
US-WEST-01,2026-07-23 22:45:00,741.5,75687,90
US-EAST-01,2026-07-28 20:45:00,303.4,54867,59
ASIA-SOUTH,2026-07-16 03:45:00,645.1,136077,80
US-SOUTH-01,2026-07-23 01:00:00,669.9,111968,80
ASIA-PAC,2026-07-12 21:30:00,565.4,31297,80
US-SOUTH-01,2026-07-12 23:30:00,373.4,59522,61
ASIA-PAC,2026-07-28 04:00:00,487.0,158770,71
US-EAST-01,2026-07-24 23:15:00,159.7,37434,70
US-EAST-01,2026-07-30 02:15:00,759.0,62856,90
ASIA-PAC,2026-07-10 12:45:00,631.3,189307,80
ASIA-PAC,2026-07-21 03:45:00,1021.6,79551,95
EMEA-EAST,2026-07-13 20:30:00,326.6,138764,85
US-EAST-01,2026-07-23 16:15:00,571.7,109111,94
US-EAST-01,2026-07-28 13:30:00,206.5,111365,70
ASIA-PAC,2026-07-19 11:45:00,694.9,178884,80
US-EAST-01,2026-07-26 02:00:00,580.1,156397,94
US-SOUTH-01,2026-07-25 05:45:00,587.9,32969,80
ASIA-PAC,2026-07-18 23:30:00,499.0,135935,62
ASIA-PAC,2026-07-10 13:00:00,661.0,172708,80
ASIA-PAC,2026-07-17 14:00:00,296.7,67867,91
US-EAST-01,2026-07-23 12:30:00,787.5,113742,94
US-SOUTH-01,2026-07-15 10:15:00,692.6,118888,93
US-EAST-01,2026-07-24 22:00:00,530.4,148062,80
US-SOUTH-01,2026-07-22 14:30:00,563.0,76278,84
ASIA-PAC,2026-07-14 01:15:00,566.0,142597,80
US-EAST-01,2026-07-31 16:45:00,711.7,53597,90
US-WEST-01,2026-07-10 09:45:00,220.5,160204,51
US-EAST-01,2026-07-28 01:00:00,393.6,158514,85
US-EAST-01,2026-07-31 19:45:00,278.5,172714,65
ASIA-PAC,2026-07-15 16:45:00,764.8,30126,90
ASIA-SOUTH,2026-07-13 01:30:00,804.6,27629,90
EMEA-EAST,2026-07-23 05:30:00,668.9,39157,80
US-SOUTH-01,2026-07-13 06:15:00,833.2,93411,90
US-WEST-01,2026-07-22 02:00:00,651.8,42453,91
ASIA-PAC,2026-07-15 19:45:00,500.1,184139,93
EMEA-EAST,2026-07-17 18:45:00,222.6,82717,70
US-EAST-01,2026-07-20 20:00:00,563.4,74125,96
US-WEST-01,2026-07-18 10:15:00,237.4,178994,53
ASIA-PAC,2026-07-14 09:00:00,1065.4,90419,90
ASIA-PAC,2026-07-13 19:45:00,470.0,48237,86
US-SOUTH-01,2026-07-20 07:00:00,490.2,159088,67
US-SOUTH-01,2026-07-26 12:30:00,851.6,94805,90
ASIA-SOUTH,2026-07-17 14:00:00,751.5,179509,91
US-EAST-01,2026-07-11 15:00:00,706.2,31227,93
ASIA-PAC,2026-07-26 15:30:00,440.3,54827,88
ASIA-SOUTH,2026-07-23 08:00:00,148.9,141980,68
EMEA-WEST,2026-07-21 15:30:00,519.2,99876,80
ASIA-PAC,2026-07-16 23:45:00,591.5,124025,80
US-SOUTH-01,2026-07-27 04:45:00,920.6,68677,90
ASIA-PAC,2026-07-31 20:00:00,478.3,71411,67
US-EAST-01,2026-07-11 16:15:00,122.0,172014,49
US-SOUTH-01,2026-07-29 18:15:00,824.3,134942,90
EMEA-WEST,2026-07-20 08:00:00,604.6,61605,80
US-EAST-01,2026-07-20 01:30:00,300.8,158066,88
ASIA-PAC,2026-07-10 07:45:00,497.4,116885,76
EMEA-EAST,2026-07-19 21:15:00,860.4,106100,97
EMEA-EAST,2026-07-23 23:45:00,846.3,146597,90
US-EAST-01,2026-07-26 21:30:00,636.6,90871,80
