complaint_id,region,timestamp,category,customer_count,escalation_level
CPLNT-000052,US-EAST-01,2026-07-27 11:35:00,No Signal,380,Medium
CPLNT-000053,US-SOUTH-01,2026-07-23 15:05:00,Service Outage,40,Low
CPLNT-000054,EMEA-EAST,2026-07-26 12:10:00,Service Outage,250,Low
CPLNT-000055,ASIA-PAC,2026-07-24 09:20:00,Service Outage,1200,High
CPLNT-000056,US-SOUTH-01,2026-07-10 21:45:00,No Signal,630,Medium
CPLNT-000057,ASIA-PAC,2026-07-12 14:40:00,Service Outage,220,Medium
CPLNT-000058,EMEA-EAST,2026-07-20 21:25:00,Service Outage,150,Medium
CPLNT-000059,US-WEST-01,2026-07-11 21:10:00,Service Outage,600,High
CPLNT-000060,US-EAST-01,2026-07-17 09:10:00,Service Outage,150,Critical
CPLNT-000061,EMEA-EAST,2026-07-14 11:25:00,Service Outage,150,Low
CPLNT-000062,US-EAST-01,2026-07-25 02:10:00,Service Outage,250,High
CPLNT-000063,EMEA-WEST,2026-07-24 03:30:00,Service Outage,320,Critical
CPLNT-000064,ASIA-SOUTH,2026-07-17 05:40:00,Service Outage,30,Critical
CPLNT-000065,US-EAST-01,2026-07-20 22:10:00,Service Outage,320,High
CPLNT-000066,ASIA-PAC,2026-07-10 02:40:00,Service Outage,650,Medium
CPLNT-000067,US-EAST-01,2026-07-17 05:35:00,Service Outage,90,Low
CPLNT-000068,US-SOUTH-01,2026-07-16 11:00:00,No Signal,532,High
CPLNT-000069,US-WEST-01,2026-07-17 12:05:00,Service Outage,300,Low
CPLNT-000070,US-WEST-01,2026-07-23 09:30:00,No Signal,320,Medium
CPLNT-000071,ASIA-PAC,2026-07-26 15:20:00,Service Outage,750,High
CPLNT-000072,US-SOUTH-01,2026-07-30 05:15:00,Service Outage,200,Medium
CPLNT-000073,EMEA-EAST,2026-07-13 06:45:00,Service Outage,120,Medium
CPLNT-000074,US-WEST-01,2026-07-10 04:05:00,Service Outage,50,High
CPLNT-000075,US-EAST-01,2026-07-22 17:00:00,No Signal,80,Low
CPLNT-000076,US-EAST-01,2026-07-27 13:05:00,Service Outage,60,Low
CPLNT-000077,ASIA-PAC,2026-07-16 15:35:00,No Signal,150,Critical
CPLNT-000078,US-EAST-01,2026-07-20 14:30:00,Service Outage,500,Medium
CPLNT-000079,US-EAST-01,2026-07-29 16:25:00,No Signal,550,High
CPLNT-000080,US-EAST-01,2026-07-18 15:00:00,No Signal,950,High
CPLNT-000081,ASIA-PAC,2026-07-28 05:00:00,Service Outage,840,High
CPLNT-000082,US-SOUTH-01,2026-07-10 13:15:00,Service Outage,1400,High
CPLNT-000083,US-SOUTH-01,2026-07-12 07:10:00,Connection Drops,125,Low
CPLNT-000084,ASIA-PAC,2026-07-12 02:35:00,Service Outage,90,Critical
CPLNT-000085,US-SOUTH-01,2026-07-15 14:00:00,Service Outage,150,Critical
CPLNT-000086,US-EAST-01,2026-07-23 13:30:00,No Signal,1200,High
CPLNT-000087,ASIA-PAC,2026-07-28 02:05:00,No Signal,1680,High
CPLNT-000088,ASIA-PAC,2026-07-30 14:25:00,No Signal,1680,High
CPLNT-000089,US-EAST-01,2026-07-29 13:30:00,No Signal,250,Critical
CPLNT-000090,EMEA-WEST,2026-07-20 08:25:00,Service Outage,700,High
CPLNT-000091,US-EAST-01,2026-07-25 01:35:00,No Signal,40,Medium
CPLNT-000092,ASIA-PAC,2026-07-10 00:15:00,Service Outage,650,Medium
CPLNT-000093,EMEA-EAST,2026-07-24 03:25:00,Service Outage,300,Medium
CPLNT-000094,US-SOUTH-01,2026-07-10 02:15:00,Slow Network,800,Critical
CPLNT-000095,US-WEST-01,2026-07-29 21:10:00,Service Outage,500,Medium
CPLNT-000096,US-EAST-01,2026-07-16 18:10:00,No Signal,750,High
CPLNT-000097,ASIA-SOUTH,2026-07-24 21:15:00,Service Outage,220,Critical
CPLNT-000098,EMEA-WEST,2026-07-14 23:10:00,Service Outage,550,High
CPLNT-000099,ASIA-PAC,2026-07-21 17:10:00,No Signal,900,High
CPLNT-000100,ASIA-PAC,2026-07-10 00:25:00,No Signal,30,Medium
CPLNT-000101,US-EAST-01,2026-07-12 16:45:00,Slow Network,380,Critical
CPLNT-000102,US-SOUTH-01,2026-07-11 08:00:00,Connection Drops,60,Low
CPLNT-000103,EMEA-EAST,2026-07-23 16:15:00,Service Outage,450,High
CPLNT-000104,US-EAST-01,2026-07-18 13:45:00,Service Outage,120,Critical
CPLNT-000105,ASIA-SOUTH,2026-07-18 06:35:00,Service Outage,550,Medium
CPLNT-000106,EMEA-WEST,2026-07-29 01:30:00,No Signal,400,Medium
CPLNT-000107,EMEA-WEST,2026-07-27 15:10:00,No Signal,480,Medium
CPLNT-000108,US-WEST-01,2026-07-23 08:30:00,Service Outage,320,High
CPLNT-000109,EMEA-EAST,2026-07-19 04:40:00,Service Outage,20,High
CPLNT-000110,ASIA-PAC,2026-07-16 19:10:00,Service Outage,1000,High
CPLNT-000111,ASIA-SOUTH,2026-07-13 14:25:00,Intermittent Service,100,Critical
CPLNT-000112,US-EAST-01,2026-07-14 15:40:00,Slow Network,180,High
CPLNT-000113,US-EAST-01,2026-07-18 10:15:00,No Signal,250,Low
CPLNT-000114,US-WEST-01,2026-07-27 01:10:00,Service Outage,600,High
CPLNT-000115,US-EAST-01,2026-07-11 01:25:00,Service Outage,400,Medium
CPLNT-000116,ASIA-PAC,2026-07-11 06:20:00,No Signal,750,Medium
CPLNT-000117,US-EAST-01,2026-07-13 00:40:00,High Latency,380,Low
CPLNT-000118,US-WEST-01,2026-07-25 23:30:00,No Signal,60,High
CPLNT-000119,US-SOUTH-01,2026-07-10 03:45:00,Service Outage,220,Low
CPLNT-000120,ASIA-PAC,2026-07-21 08:25:00,No Signal,280,High
CPLNT-000121,ASIA-PAC,2026-07-17 18:45:00,Connection Drops,80,High
CPLNT-000122,EMEA-EAST,2026-07-26 19:00:00,Intermittent Service,600,Medium
CPLNT-000123,US-EAST-01,2026-07-14 21:05:00,No Signal,300,Medium
CPLNT-000124,US-WEST-01,2026-07-17 21:25:00,Service Outage,300,Low
CPLNT-000125,EMEA-EAST,2026-07-26 07:25:00,Service Outage,320,Critical
CPLNT-000126,US-WEST-01,2026-07-18 20:30:00,Service Outage,750,High
CPLNT-000127,US-SOUTH-01,2026-07-20 10:30:00,No Signal,650,Medium
CPLNT-000128,ASIA-PAC,2026-07-14 21:20:00,Service Outage,120,Critical
CPLNT-000129,EMEA-EAST,2026-07-29 08:20:00,Service Outage,320,Critical
CPLNT-000130,US-EAST-01,2026-07-31 18:40:00,Service Outage,380,Medium
CPLNT-000131,ASIA-PAC,2026-07-17 04:15:00,No Signal,140,Medium
CPLNT-000132,ASIA-PAC,2026-07-16 02:25:00,Service Outage,500,High
CPLNT-000133,US-EAST-01,2026-07-31 04:35:00,Service Outage,400,High
CPLNT-000134,US-WEST-01,2026-07-22 16:15:00,No Signal,150,Low
CPLNT-000135,ASIA-PAC,2026-07-13 04:00:00,No Signal,50,Medium
CPLNT-000136,US-SOUTH-01,2026-07-23 18:05:00,Service Outage,532,Medium
CPLNT-000137,US-SOUTH-01,2026-07-28 04:20:00,Service Outage,80,Critical
CPLNT-000138,ASIA-PAC,2026-07-27 06:30:00,Service Outage,320,High
CPLNT-000139,US-EAST-01,2026-07-17 21:30:00,No Signal,40,High
CPLNT-000140,ASIA-SOUTH,2026-07-28 02:35:00,Service Outage,1000,Critical
CPLNT-000141,US-SOUTH-01,2026-07-22 01:05:00,Service Outage,60,High
CPLNT-000142,EMEA-EAST,2026-07-14 18:40:00,No Signal,60,High
CPLNT-000143,ASIA-PAC,2026-07-15 12:25:00,Service Outage,100,High
CPLNT-000144,EMEA-WEST,2026-07-28 00:45:00,Connection Drops,380,High
CPLNT-000145,ASIA-SOUTH,2026-07-17 07:15:00,No Signal,1000,High
CPLNT-000146,ASIA-SOUTH,2026-07-31 15:00:00,No Signal,1200,High
CPLNT-000147,ASIA-PAC,2026-07-27 03:20:00,No Signal,650,Medium
CPLNT-000148,ASIA-PAC,2026-07-11 19:40:00,No Signal,800,High
CPLNT-000149,US-WEST-01,2026-07-12 03:15:00,No Signal,1100,High
CPLNT-000150,US-EAST-01,2026-07-16 23:35:00,Service Outage,60,Medium
CPLNT-000151,EMEA-EAST,2026-07-12 00:30:00,No Signal,100,High
CPLNT-000152,US-WEST-01,2026-07-12 11:15:00,Service Outage,1000,Critical
CPLNT-000153,US-SOUTH-01,2026-07-17 07:00:00,High Latency,950,High
CPLNT-000154,ASIA-PAC,2026-07-23 08:45:00,No Signal,950,High
CPLNT-000155,US-EAST-01,2026-07-28 22:05:00,No Signal,320,Medium
CPLNT-000156,US-EAST-01,2026-07-25 13:05:00,Slow Network,80,Critical
CPLNT-000157,ASIA-PAC,2026-07-24 18:35:00,High Latency,770,Medium
CPLNT-000158,EMEA-EAST,2026-07-21 22:25:00,Service Outage,280,High
CPLNT-000159,ASIA-SOUTH,2026-07-27 15:10:00,Service Outage,1200,High
CPLNT-000160,US-WEST-01,2026-07-28 10:20:00,Service Outage,350,Low
CPLNT-000161,EMEA-EAST,2026-07-15 15:45:00,No Signal,600,High
CPLNT-000162,US-EAST-01,2026-07-22 22:00:00,No Signal,400,High
CPLNT-000163,US-EAST-01,2026-07-27 18:10:00,Service Outage,20,Medium
CPLNT-000164,ASIA-SOUTH,2026-07-27 23:10:00,No Signal,280,Low
CPLNT-000165,ASIA-PAC,2026-07-20 02:30:00,No Signal,600,High
CPLNT-000166,EMEA-WEST,2026-07-18 04:45:00,No Signal,850,High
CPLNT-000167,US-SOUTH-01,2026-07-11 13:25:00,Service Outage,489,High
CPLNT-000168,EMEA-WEST,2026-07-29 06:05:00,Service Outage,280,Medium
CPLNT-000169,US-EAST-01,2026-07-11 20:20:00,No Signal,180,Critical
CPLNT-000170,US-SOUTH-01,2026-07-31 04:05:00,No Signal,1000,High
CPLNT-000171,ASIA-PAC,2026-07-30 18:00:00,Service Outage,70,High
CPLNT-000172,EMEA-WEST,2026-07-13 17:25:00,Service Outage,120,Low
CPLNT-000173,US-WEST-01,2026-07-15 04:10:00,Slow Network,200,Medium
CPLNT-000174,ASIA-PAC,2026-07-23 21:10:00,Service Outage,1200,Critical
CPLNT-000175,ASIA-PAC,2026-07-26 18:10:00,No Signal,1190,High
CPLNT-000176,ASIA-PAC,2026-07-16 13:10:00,No Signal,84,Medium
CPLNT-000177,ASIA-PAC,2026-07-12 03:00:00,Service Outage,350,Medium
CPLNT-000178,US-WEST-01,2026-07-31 05:40:00,Service Outage,900,High
CPLNT-000179,ASIA-SOUTH,2026-07-12 18:15:00,Service Outage,950,High
CPLNT-000180,ASIA-SOUTH,2026-07-27 14:00:00,No Signal,350,Low
CPLNT-000181,US-SOUTH-01,2026-07-30 09:15:00,No Signal,320,High
CPLNT-000182,US-EAST-01,2026-07-24 00:00:00,Service Outage,80,High
CPLNT-000183,ASIA-PAC,2026-07-30 13:25:00,No Signal,28,Low
CPLNT-000184,ASIA-SOUTH,2026-07-12 15:05:00,Service Outage,280,Critical
CPLNT-000185,EMEA-WEST,2026-07-27 18:20:00,Service Outage,900,High
CPLNT-000186,US-WEST-01,2026-07-29 04:05:00,Service Outage,120,Low
CPLNT-000187,ASIA-PAC,2026-07-13 18:20:00,Connection Drops,1100,High
CPLNT-000188,US-SOUTH-01,2026-07-12 19:40:00,Service Outage,850,High
CPLNT-000189,US-EAST-01,2026-07-23 05:15:00,Service Outage,280,High
CPLNT-000190,US-SOUTH-01,2026-07-28 21:05:00,Service Outage,1050,High
CPLNT-000191,US-SOUTH-01,2026-07-19 15:45:00,No Signal,220,Low
CPLNT-000192,ASIA-PAC,2026-07-29 00:05:00,No Signal,630,Medium
CPLNT-000193,EMEA-WEST,2026-07-23 17:20:00,No Signal,40,High
CPLNT-000194,US-SOUTH-01,2026-07-30 22:05:00,Service Outage,450,Medium
CPLNT-000195,US-EAST-01,2026-07-14 18:45:00,No Signal,950,Critical
CPLNT-000196,ASIA-PAC,2026-07-19 12:00:00,Service Outage,100,Medium
CPLNT-000197,ASIA-SOUTH,2026-07-13 15:35:00,No Signal,850,High
CPLNT-000198,ASIA-PAC,2026-07-31 03:05:00,Service Outage,20,High
CPLNT-000199,US-SOUTH-01,2026-07-24 03:15:00,Service Outage,1000,High
CPLNT-000200,EMEA-WEST,2026-07-24 16:45:00,Slow Network,20,Medium
CPLNT-000201,ASIA-PAC,2026-07-21 18:25:00,No Signal,1100,Critical
CPLNT-000202,US-SOUTH-01,2026-07-24 10:45:00,No Signal,850,Critical
CPLNT-000203,ASIA-PAC,2026-07-18 07:15:00,Service Outage,1260,High
CPLNT-000204,US-SOUTH-01,2026-07-20 03:10:00,High Latency,979,Critical
CPLNT-000205,EMEA-WEST,2026-07-14 08:00:00,No Signal,450,Medium
CPLNT-000206,US-WEST-01,2026-07-26 23:30:00,Service Outage,80,Medium
CPLNT-000207,US-WEST-01,2026-07-23 03:30:00,No Signal,220,Medium
CPLNT-000208,US-EAST-01,2026-07-20 21:45:00,Service Outage,950,High
CPLNT-000209,ASIA-PAC,2026-07-15 06:20:00,Service Outage,125,Low
CPLNT-000210,ASIA-SOUTH,2026-07-10 12:25:00,Service Outage,650,High
CPLNT-000211,US-WEST-01,2026-07-16 09:25:00,No Signal,400,High
CPLNT-000212,US-EAST-01,2026-07-16 09:35:00,No Signal,550,High
CPLNT-000213,ASIA-SOUTH,2026-07-13 02:00:00,Service Outage,90,High
CPLNT-000214,US-WEST-01,2026-07-13 05:20:00,Service Outage,50,Low
CPLNT-000215,EMEA-EAST,2026-07-14 13:20:00,Intermittent Service,90,Low
CPLNT-000216,US-WEST-01,2026-07-12 08:35:00,Connection Drops,400,High
CPLNT-000217,US-WEST-01,2026-07-17 18:15:00,No Signal,350,Medium
CPLNT-000218,EMEA-EAST,2026-07-12 14:25:00,Service Outage,60,Critical
CPLNT-000219,US-EAST-01,2026-07-31 23:40:00,No Signal,600,Medium
CPLNT-000220,ASIA-PAC,2026-07-24 23:25:00,No Signal,150,Low
CPLNT-000221,US-EAST-01,2026-07-28 17:10:00,Service Outage,750,Medium
CPLNT-000222,EMEA-EAST,2026-07-13 09:40:00,No Signal,60,High
CPLNT-000223,US-SOUTH-01,2026-07-18 10:00:00,No Signal,84,Critical
CPLNT-000224,EMEA-EAST,2026-07-22 07:35:00,Service Outage,480,Medium
CPLNT-000225,ASIA-SOUTH,2026-07-29 11:35:00,Service Outage,480,Medium
CPLNT-000226,US-EAST-01,2026-07-11 03:15:00,Service Outage,30,Medium
CPLNT-000227,US-EAST-01,2026-07-19 00:15:00,No Signal,800,High
CPLNT-000228,US-WEST-01,2026-07-12 22:40:00,High Latency,900,High
CPLNT-000229,US-EAST-01,2026-07-16 13:40:00,Service Outage,800,High
CPLNT-000230,EMEA-EAST,2026-07-31 03:10:00,No Signal,100,High
CPLNT-000231,ASIA-PAC,2026-07-14 15:00:00,Connection Drops,532,High
CPLNT-000232,EMEA-EAST,2026-07-13 05:20:00,Connection Drops,480,Medium
CPLNT-000233,ASIA-PAC,2026-07-18 22:30:00,High Latency,600,High
CPLNT-000234,US-EAST-01,2026-07-25 14:15:00,Service Outage,1100,High
CPLNT-000235,US-SOUTH-01,2026-07-31 12:20:00,Service Outage,350,Medium
CPLNT-000236,US-SOUTH-01,2026-07-15 17:10:00,Service Outage,80,Critical
CPLNT-000237,US-EAST-01,2026-07-12 22:20:00,Service Outage,50,Critical
CPLNT-000238,US-SOUTH-01,2026-07-30 05:05:00,Service Outage,180,Critical
CPLNT-000239,EMEA-WEST,2026-07-30 07:35:00,Service Outage,450,High
CPLNT-000240,ASIA-PAC,2026-07-17 22:20:00,No Signal,100,Critical
CPLNT-000241,US-SOUTH-01,2026-07-19 12:35:00,Service Outage,450,High
CPLNT-000242,ASIA-PAC,2026-07-14 11:40:00,No Signal,120,Critical
CPLNT-000243,US-WEST-01,2026-07-12 06:30:00,No Signal,120,Low
CPLNT-000244,EMEA-WEST,2026-07-26 11:20:00,Service Outage,700,Medium
CPLNT-000245,US-WEST-01,2026-07-26 09:35:00,Slow Network,1000,Critical
CPLNT-000246,EMEA-EAST,2026-07-25 23:40:00,No Signal,100,Medium
CPLNT-000247,US-EAST-01,2026-07-15 03:00:00,Service Outage,950,High
CPLNT-000248,US-WEST-01,2026-07-15 12:35:00,No Signal,80,Medium
CPLNT-000249,ASIA-PAC,2026-07-22 19:05:00,Service Outage,250,Low
CPLNT-000250,EMEA-EAST,2026-07-23 22:00:00,Service Outage,750,Medium
CPLNT-000251,ASIA-SOUTH,2026-07-25 23:45:00,Service Outage,800,High
CPLNT-000252,EMEA-EAST,2026-07-20 00:35:00,Service Outage,20,Low
CPLNT-000253,ASIA-PAC,2026-07-13 05:00:00,Service Outage,1120,High
CPLNT-000254,US-SOUTH-01,2026-07-21 18:45:00,Service Outage,200,Critical
CPLNT-000255,US-SOUTH-01,2026-07-12 21:20:00,Service Outage,950,High
CPLNT-000256,US-SOUTH-01,2026-07-15 17:15:00,No Signal,650,High
CPLNT-000257,US-EAST-01,2026-07-31 23:45:00,Service Outage,850,High
CPLNT-000258,ASIA-PAC,2026-07-18 05:20:00,Service Outage,448,High
CPLNT-000259,US-WEST-01,2026-07-10 22:10:00,Service Outage,900,High
CPLNT-000260,US-EAST-01,2026-07-22 06:00:00,Service Outage,300,Low
CPLNT-000261,ASIA-SOUTH,2026-07-28 17:00:00,High Latency,80,Medium
CPLNT-000262,EMEA-WEST,2026-07-22 21:10:00,No Signal,800,Critical
CPLNT-000263,EMEA-WEST,2026-07-11 04:20:00,Service Outage,100,High
CPLNT-000264,ASIA-PAC,2026-07-19 14:30:00,Service Outage,60,High
CPLNT-000265,ASIA-PAC,2026-07-29 00:15:00,No Signal,480,High
CPLNT-000266,US-EAST-01,2026-07-25 00:35:00,Service Outage,200,High
CPLNT-000267,US-WEST-01,2026-07-22 09:10:00,Service Outage,120,Low
CPLNT-000268,ASIA-PAC,2026-07-22 01:30:00,No Signal,350,Low
CPLNT-000269,US-SOUTH-01,2026-07-23 04:45:00,No Signal,420,Medium
CPLNT-000270,US-WEST-01,2026-07-12 16:20:00,Service Outage,60,Critical
CPLNT-000271,EMEA-WEST,2026-07-13 22:15:00,No Signal,700,Medium
CPLNT-000272,US-SOUTH-01,2026-07-26 15:05:00,Service Outage,350,Medium
CPLNT-000273,US-EAST-01,2026-07-19 13:40:00,Service Outage,100,Critical
CPLNT-000274,ASIA-PAC,2026-07-12 13:35:00,Service Outage,100,Critical
CPLNT-000275,ASIA-PAC,2026-07-11 02:45:00,Service Outage,600,Medium
CPLNT-000276,ASIA-PAC,2026-07-11 18:40:00,No Signal,180,Low
CPLNT-000277,ASIA-PAC,2026-07-19 04:10:00,No Signal,630,High
CPLNT-000278,US-EAST-01,2026-07-11 01:05:00,Service Outage,20,Critical
CPLNT-000279,EMEA-WEST,2026-07-17 07:45:00,Service Outage,120,High
CPLNT-000280,ASIA-SOUTH,2026-07-24 17:30:00,No Signal,20,Critical
CPLNT-000281,US-EAST-01,2026-07-31 17:45:00,Service Outage,600,High
CPLNT-000282,ASIA-SOUTH,2026-07-26 05:05:00,No Signal,150,Critical
CPLNT-000283,US-WEST-01,2026-07-10 09:05:00,Service Outage,320,High
CPLNT-000284,US-SOUTH-01,2026-07-14 06:15:00,No Signal,42,Medium
CPLNT-000285,US-WEST-01,2026-07-14 05:45:00,Service Outage,950,Critical
CPLNT-000286,ASIA-PAC,2026-07-19 12:00:00,Service Outage,200,Low
CPLNT-000287,US-SOUTH-01,2026-07-10 21:45:00,No Signal,350,High
CPLNT-000288,US-EAST-01,2026-07-22 12:45:00,Service Outage,350,Low
CPLNT-000289,US-SOUTH-01,2026-07-22 10:40:00,High Latency,308,Medium
CPLNT-000290,US-WEST-01,2026-07-27 01:40:00,Service Outage,300,Low
CPLNT-000291,US-SOUTH-01,2026-07-16 04:05:00,Service Outage,350,High
CPLNT-000292,EMEA-WEST,2026-07-14 10:05:00,Service Outage,600,High
CPLNT-000293,US-WEST-01,2026-07-27 07:45:00,Service Outage,20,Medium
CPLNT-000294,US-EAST-01,2026-07-17 16:35:00,Service Outage,650,Medium
CPLNT-000295,ASIA-PAC,2026-07-21 09:05:00,No Signal,180,High
CPLNT-000296,EMEA-EAST,2026-07-30 13:40:00,Connection Drops,40,High
CPLNT-000297,ASIA-PAC,2026-07-10 09:15:00,No Signal,251,High
CPLNT-000298,ASIA-PAC,2026-07-20 21:05:00,Service Outage,500,High
CPLNT-000299,US-EAST-01,2026-07-20 12:10:00,Service Outage,180,High
CPLNT-000300,US-WEST-01,2026-07-12 15:25:00,No Signal,40,Low
CPLNT-000301,US-WEST-01,2026-07-15 14:20:00,Connection Drops,350,Critical
CPLNT-000302,EMEA-WEST,2026-07-23 03:00:00,No Signal,320,Low
CPLNT-000303,US-EAST-01,2026-07-23 11:15:00,Service Outage,90,Medium
CPLNT-000304,ASIA-SOUTH,2026-07-23 14:30:00,Service Outage,20,Medium
CPLNT-000305,ASIA-SOUTH,2026-07-18 15:25:00,Service Outage,50,Medium
CPLNT-000306,US-SOUTH-01,2026-07-28 17:35:00,Service Outage,1680,High
CPLNT-000307,US-SOUTH-01,2026-07-11 14:20:00,No Signal,1400,High
CPLNT-000308,ASIA-PAC,2026-07-13 09:10:00,Service Outage,90,Low
CPLNT-000309,US-EAST-01,2026-07-24 18:45:00,No Signal,280,High
CPLNT-000310,US-EAST-01,2026-07-31 11:40:00,No Signal,1200,High
CPLNT-000311,US-SOUTH-01,2026-07-23 08:15:00,Service Outage,650,Medium
CPLNT-000312,US-EAST-01,2026-07-20 00:05:00,Service Outage,900,Critical
CPLNT-000313,EMEA-WEST,2026-07-26 18:10:00,Service Outage,150,Medium
CPLNT-000314,EMEA-WEST,2026-07-11 07:00:00,No Signal,950,High
CPLNT-000315,ASIA-SOUTH,2026-07-19 21:35:00,Service Outage,320,Low
CPLNT-000316,US-SOUTH-01,2026-07-11 23:25:00,High Latency,100,High
CPLNT-000317,US-WEST-01,2026-07-13 02:15:00,No Signal,280,Medium
CPLNT-000318,US-WEST-01,2026-07-10 02:20:00,Service Outage,250,Medium
CPLNT-000319,ASIA-PAC,2026-07-26 08:15:00,Service Outage,700,Medium
CPLNT-000320,ASIA-PAC,2026-07-13 19:10:00,Service Outage,1120,High
CPLNT-000321,US-EAST-01,2026-07-20 07:45:00,No Signal,1000,High
CPLNT-000322,US-EAST-01,2026-07-31 21:30:00,Service Outage,90,High
CPLNT-000323,US-SOUTH-01,2026-07-19 05:00:00,Intermittent Service,900,High
CPLNT-000324,EMEA-WEST,2026-07-22 06:20:00,Service Outage,220,High
CPLNT-000325,US-EAST-01,2026-07-31 05:10:00,Service Outage,750,Medium
CPLNT-000326,EMEA-EAST,2026-07-20 04:45:00,Service Outage,220,Low
CPLNT-000327,EMEA-WEST,2026-07-21 22:30:00,Service Outage,750,High
CPLNT-000328,EMEA-EAST,2026-07-20 12:20:00,High Latency,1200,Critical
CPLNT-000329,EMEA-WEST,2026-07-21 05:15:00,No Signal,1100,High
CPLNT-000330,ASIA-PAC,2026-07-16 21:25:00,Service Outage,380,Critical
CPLNT-000331,ASIA-SOUTH,2026-07-21 13:30:00,Service Outage,40,Critical
CPLNT-000332,US-WEST-01,2026-07-28 02:25:00,Service Outage,20,Low
CPLNT-000333,EMEA-WEST,2026-07-22 02:10:00,No Signal,480,High
