outage_id,region,timestamp,severity,component,status,duration_minutes
INC-000059,ASIA-SOUTH,2026-07-29 21:10:00,Critical,Scheduled UPS Test,Resolved,180
INC-000060,EMEA-WEST,2026-07-10 23:35:00,Warning,Configuration Error,Resolved,120
INC-000061,ASIA-SOUTH,2026-07-12 20:20:00,Critical,Configuration Error,Resolved,180
INC-000062,ASIA-SOUTH,2026-07-29 12:15:00,Minor,Software Bug,Resolved,30
INC-000063,ASIA-PAC,2026-07-27 05:00:00,Warning,Power Outage,Resolved,60
INC-000064,EMEA-WEST,2026-07-25 21:05:00,Major,Hardware Fault,Active,180
INC-000065,EMEA-EAST,2026-07-12 01:30:00,Major,Configuration Error,Active,300
INC-000066,US-EAST-01,2026-07-22 00:05:00,Minor,Hardware Fault,Resolved,1800
INC-000067,US-WEST-01,2026-07-25 17:20:00,Major,Software Bug,Resolved,300
INC-000068,EMEA-EAST,2026-07-31 22:05:00,Warning,Software Bug,Resolved,240
INC-000069,US-SOUTH-01,2026-07-16 12:05:00,Major,Fiber Backbone,Resolved,480
INC-000070,ASIA-PAC,2026-07-22 20:35:00,Minor,Fiber Backbone,Resolved,720
INC-000071,EMEA-WEST,2026-07-31 04:15:00,Critical,Fiber Break,Resolved,180
INC-000072,ASIA-PAC,2026-07-27 06:35:00,Major,Cloud Flare,Active,1440
INC-000073,EMEA-WEST,2026-07-19 17:25:00,Minor,BGP Route,Active,480
INC-000074,ASIA-SOUTH,2026-07-28 00:00:00,Minor,Fiber Backbone,Resolved,120
INC-000075,EMEA-EAST,2026-07-20 18:30:00,Minor,Software Bug,Active,480
INC-000076,US-EAST-01,2026-07-12 14:05:00,Minor,BGP Route,Resolved,1440
INC-000077,ASIA-PAC,2026-07-26 15:35:00,Critical,Scheduled UPS Test,Resolved,180
INC-000078,US-WEST-01,2026-07-17 02:10:00,Warning,Power Outage,Resolved,90
INC-000079,US-SOUTH-01,2026-07-17 01:40:00,Minor,Power Outage,Active,120
INC-000080,EMEA-WEST,2026-07-22 23:30:00,Minor,BGP Route,Resolved,1080
INC-000081,US-SOUTH-01,2026-07-29 17:20:00,Critical,Scheduled UPS Test,Resolved,240
INC-000082,EMEA-EAST,2026-07-23 13:10:00,Warning,Hardware Fault,Resolved,180
INC-000083,EMEA-WEST,2026-07-11 08:25:00,Critical,Software Bug,Active,480
INC-000084,ASIA-PAC,2026-07-24 20:25:00,Warning,Power Outage,Active,120
INC-000085,US-EAST-01,2026-07-16 22:35:00,Minor,Software Bug,Resolved,900
INC-000086,ASIA-SOUTH,2026-07-27 18:05:00,Major,Equipment Fault,Active,180
INC-000087,ASIA-SOUTH,2026-07-29 21:30:00,Critical,Configuration Error,Active,1200
INC-000088,US-EAST-01,2026-07-28 06:30:00,Major,Cloud Flare,Resolved,180
INC-000089,EMEA-EAST,2026-07-22 10:20:00,Minor,Scheduled UPS Test,Resolved,1440
INC-000090,US-SOUTH-01,2026-07-15 15:30:00,Minor,Equipment Fault,Active,240
INC-000091,ASIA-PAC,2026-07-16 10:45:00,Critical,Fiber Break,Active,180
INC-000092,ASIA-PAC,2026-07-15 19:15:00,Minor,Software Bug,Resolved,15
INC-000093,ASIA-SOUTH,2026-07-31 04:35:00,Critical,Power Outage,Resolved,180
INC-000094,US-SOUTH-01,2026-07-23 20:00:00,Minor,Equipment Fault,Resolved,45
INC-000095,US-EAST-01,2026-07-15 12:25:00,Major,Hardware Fault,Active,300
INC-000096,ASIA-PAC,2026-07-18 18:40:00,Warning,Fiber Backbone,Active,1440
INC-000097,ASIA-PAC,2026-07-15 20:30:00,Warning,Software Bug,Resolved,15
INC-000098,ASIA-PAC,2026-07-24 16:25:00,Warning,Equipment Fault,Resolved,900
INC-000099,US-EAST-01,2026-07-24 21:25:00,Critical,Configuration Error,Resolved,1800
INC-000100,US-WEST-01,2026-07-15 21:00:00,Warning,BGP Route,Resolved,60
INC-000101,ASIA-PAC,2026-07-19 23:30:00,Minor,Fiber Break,Active,150
INC-000102,ASIA-PAC,2026-07-21 12:05:00,Minor,Hardware Fault,Active,180
INC-000103,ASIA-SOUTH,2026-07-27 07:05:00,Minor,Scheduled UPS Test,Active,1440
INC-000104,US-SOUTH-01,2026-07-14 10:35:00,Critical,Equipment Fault,Active,1200
INC-000105,ASIA-PAC,2026-07-10 19:05:00,Minor,Scheduled UPS Test,Resolved,75
INC-000106,US-WEST-01,2026-07-31 23:59:00,Major,Hardware Fault,Resolved,300
INC-000107,EMEA-EAST,2026-07-25 21:10:00,Critical,Power Outage,Active,1200
INC-000108,US-WEST-01,2026-07-20 20:45:00,Major,BGP Route,Resolved,180
INC-000109,ASIA-SOUTH,2026-07-28 15:40:00,Minor,Equipment Fault,Active,1800
INC-000110,US-EAST-01,2026-07-12 07:20:00,Minor,Scheduled UPS Test,Resolved,150
INC-000111,ASIA-SOUTH,2026-07-18 12:30:00,Major,Hardware Fault,Active,180
INC-000112,ASIA-PAC,2026-07-13 20:10:00,Critical,BGP Route,Resolved,180
INC-000113,EMEA-EAST,2026-07-17 02:15:00,Critical,BGP Route,Active,180
INC-000114,ASIA-PAC,2026-07-31 10:45:00,Minor,Hardware Fault,Resolved,1200
INC-000115,ASIA-SOUTH,2026-07-18 03:10:00,Minor,Cloud Flare,Active,720
INC-000116,ASIA-SOUTH,2026-07-11 16:25:00,Minor,Cloud Flare,Active,300
INC-000117,US-WEST-01,2026-07-24 19:00:00,Warning,Configuration Error,Active,180
INC-000118,US-SOUTH-01,2026-07-24 16:00:00,Critical,Power Outage,Active,360
INC-000119,ASIA-PAC,2026-07-22 09:30:00,Major,Hardware Fault,Active,360
INC-000120,US-SOUTH-01,2026-07-11 23:25:00,Critical,Power Outage,Resolved,1080
INC-000121,US-EAST-01,2026-07-28 11:05:00,Major,Equipment Fault,Active,180
INC-000122,EMEA-WEST,2026-07-12 12:00:00,Major,BGP Route,Resolved,600
INC-000123,US-WEST-01,2026-07-11 10:10:00,Critical,Power Outage,Active,720
INC-000124,US-EAST-01,2026-07-25 21:30:00,Major,Fiber Backbone,Resolved,180
INC-000125,ASIA-SOUTH,2026-07-28 21:25:00,Critical,Configuration Error,Resolved,240
INC-000126,ASIA-PAC,2026-07-21 13:40:00,Warning,Fiber Backbone,Resolved,15
INC-000127,ASIA-PAC,2026-07-29 23:40:00,Major,Power Outage,Resolved,900
INC-000128,ASIA-SOUTH,2026-07-22 23:35:00,Minor,Fiber Backbone,Active,720
INC-000129,EMEA-EAST,2026-07-18 18:30:00,Warning,Hardware Fault,Active,360
INC-000130,ASIA-PAC,2026-07-30 04:40:00,Major,Scheduled UPS Test,Resolved,1200
INC-000131,ASIA-SOUTH,2026-07-20 03:40:00,Warning,Software Bug,Active,720
INC-000132,US-EAST-01,2026-07-23 01:05:00,Minor,Fiber Backbone,Active,1440
INC-000133,ASIA-PAC,2026-07-17 01:25:00,Warning,Equipment Fault,Active,1080
INC-000134,US-SOUTH-01,2026-07-21 15:30:00,Critical,Hardware Fault,Resolved,180
INC-000135,US-SOUTH-01,2026-07-13 04:15:00,Warning,Equipment Fault,Active,240
INC-000136,US-SOUTH-01,2026-07-24 09:05:00,Major,BGP Route,Resolved,900
INC-000137,ASIA-PAC,2026-07-19 17:35:00,Critical,Software Bug,Resolved,720
INC-000138,ASIA-SOUTH,2026-07-21 18:40:00,Critical,BGP Route,Active,900
INC-000139,US-EAST-01,2026-07-23 05:15:00,Critical,Configuration Error,Active,180
INC-000140,ASIA-PAC,2026-07-11 06:15:00,Warning,Scheduled UPS Test,Resolved,1080
INC-000141,ASIA-SOUTH,2026-07-22 16:15:00,Minor,Power Outage,Active,120
INC-000142,ASIA-PAC,2026-07-22 00:40:00,Critical,Fiber Break,Active,1080
INC-000143,US-EAST-01,2026-07-21 05:40:00,Major,Configuration Error,Resolved,180
INC-000144,US-EAST-01,2026-07-22 16:25:00,Warning,Cloud Flare,Resolved,60
INC-000145,ASIA-PAC,2026-07-26 18:40:00,Minor,Configuration Error,Resolved,300
INC-000146,US-EAST-01,2026-07-31 03:25:00,Minor,Configuration Error,Resolved,90
INC-000147,ASIA-PAC,2026-07-27 05:40:00,Minor,Equipment Fault,Active,120
INC-000148,US-EAST-01,2026-07-13 19:35:00,Major,Configuration Error,Active,180
INC-000149,US-SOUTH-01,2026-07-15 01:00:00,Minor,Power Outage,Resolved,300
INC-000150,ASIA-SOUTH,2026-07-12 01:25:00,Major,Configuration Error,Resolved,720
INC-000151,EMEA-WEST,2026-07-11 21:40:00,Minor,Scheduled UPS Test,Active,300
INC-000152,ASIA-PAC,2026-07-16 05:45:00,Minor,Scheduled UPS Test,Active,120
INC-000153,EMEA-EAST,2026-07-17 18:15:00,Warning,Power Outage,Active,120
INC-000154,ASIA-PAC,2026-07-16 03:15:00,Critical,Hardware Fault,Active,180
INC-000155,EMEA-WEST,2026-07-26 20:10:00,Warning,Software Bug,Resolved,240
INC-000156,ASIA-PAC,2026-07-10 18:20:00,Warning,Cloud Flare,Resolved,900
INC-000157,ASIA-PAC,2026-07-31 12:30:00,Major,Cloud Flare,Resolved,240
INC-000158,ASIA-PAC,2026-07-10 18:15:00,Critical,Power Outage,Resolved,1080
INC-000159,ASIA-SOUTH,2026-07-24 14:25:00,Major,Configuration Error,Active,360
INC-000160,US-SOUTH-01,2026-07-26 21:30:00,Warning,Equipment Fault,Active,120
INC-000161,ASIA-PAC,2026-07-12 02:00:00,Minor,Configuration Error,Active,1200
INC-000162,EMEA-EAST,2026-07-10 00:00:00,Major,BGP Route,Active,1800
INC-000163,US-EAST-01,2026-07-23 06:45:00,Major,Configuration Error,Active,180
INC-000164,US-SOUTH-01,2026-07-22 06:40:00,Major,Equipment Fault,Active,180
INC-000165,US-EAST-01,2026-07-28 11:10:00,Major,Cloud Flare,Resolved,180
INC-000166,US-WEST-01,2026-07-27 00:00:00,Major,BGP Route,Resolved,360
INC-000167,ASIA-PAC,2026-07-11 12:15:00,Major,Power Outage,Resolved,180
INC-000168,ASIA-PAC,2026-07-24 22:25:00,Major,Configuration Error,Resolved,180
INC-000169,US-SOUTH-01,2026-07-22 09:25:00,Major,Scheduled UPS Test,Active,600
INC-000170,ASIA-SOUTH,2026-07-17 01:40:00,Critical,Scheduled UPS Test,Active,180
INC-000171,ASIA-PAC,2026-07-13 09:30:00,Critical,Cloud Flare,Active,900
INC-000172,US-EAST-01,2026-07-28 04:00:00,Critical,Cloud Flare,Active,180
INC-000173,EMEA-EAST,2026-07-30 00:10:00,Critical,Fiber Break,Active,180
INC-000174,ASIA-PAC,2026-07-20 00:00:00,Major,BGP Route,Active,1440
INC-000175,ASIA-PAC,2026-07-30 12:20:00,Major,Equipment Fault,Resolved,180
INC-000176,US-EAST-01,2026-07-31 16:15:00,Major,Software Bug,Resolved,1200
INC-000177,EMEA-EAST,2026-07-27 19:25:00,Major,BGP Route,Active,180
INC-000178,US-EAST-01,2026-07-19 00:45:00,Critical,Power Outage,Resolved,180
INC-000179,US-WEST-01,2026-07-17 01:15:00,Major,Equipment Fault,Resolved,180
INC-000180,ASIA-PAC,2026-07-18 14:10:00,Warning,Equipment Fault,Resolved,1200
INC-000181,EMEA-WEST,2026-07-24 09:10:00,Major,Software Bug,Active,180
INC-000182,ASIA-PAC,2026-07-18 12:20:00,Warning,Cloud Flare,Active,300
INC-000183,US-WEST-01,2026-07-19 08:25:00,Major,Scheduled UPS Test,Active,480
INC-000184,US-EAST-01,2026-07-15 09:00:00,Major,Fiber Break,Resolved,240
INC-000185,ASIA-SOUTH,2026-07-31 03:25:00,Critical,Hardware Fault,Resolved,180
INC-000186,US-SOUTH-01,2026-07-29 21:30:00,Major,Software Bug,Resolved,240
INC-000187,US-EAST-01,2026-07-31 22:30:00,Major,Scheduled UPS Test,Resolved,1080
INC-000188,ASIA-SOUTH,2026-07-31 22:45:00,Critical,Configuration Error,Active,180
INC-000189,ASIA-PAC,2026-07-30 20:40:00,Critical,Fiber Backbone,Active,180
INC-000190,US-SOUTH-01,2026-07-20 12:45:00,Minor,Fiber Backbone,Resolved,180
INC-000191,US-WEST-01,2026-07-23 07:25:00,Minor,Fiber Backbone,Active,480
INC-000192,EMEA-WEST,2026-07-22 15:00:00,Warning,Hardware Fault,Active,1080
INC-000193,US-SOUTH-01,2026-07-17 06:20:00,Minor,Hardware Fault,Resolved,1080
INC-000194,ASIA-SOUTH,2026-07-15 00:30:00,Warning,Power Outage,Active,120
INC-000195,US-EAST-01,2026-07-21 15:25:00,Warning,Software Bug,Resolved,30
INC-000196,ASIA-PAC,2026-07-27 12:15:00,Major,Scheduled UPS Test,Resolved,180
INC-000197,ASIA-SOUTH,2026-07-14 11:35:00,Minor,Scheduled UPS Test,Active,1080
INC-000198,US-EAST-01,2026-07-11 10:40:00,Minor,Software Bug,Resolved,60
INC-000199,US-WEST-01,2026-07-16 10:40:00,Major,Equipment Fault,Active,180
INC-000200,EMEA-WEST,2026-07-10 00:05:00,Warning,Power Outage,Active,120
INC-000201,US-SOUTH-01,2026-07-13 20:45:00,Warning,Fiber Backbone,Resolved,480
INC-000202,EMEA-WEST,2026-07-22 06:35:00,Major,BGP Route,Active,180
INC-000203,ASIA-PAC,2026-07-23 16:20:00,Warning,Fiber Backbone,Active,1200
INC-000204,US-EAST-01,2026-07-10 17:10:00,Critical,Configuration Error,Resolved,1440
INC-000205,US-SOUTH-01,2026-07-17 18:05:00,Warning,Equipment Fault,Resolved,150
INC-000206,US-EAST-01,2026-07-21 04:45:00,Minor,Configuration Error,Active,1800
INC-000207,US-EAST-01,2026-07-14 10:05:00,Minor,Equipment Fault,Active,900
INC-000208,US-WEST-01,2026-07-23 19:10:00,Minor,BGP Route,Active,360
INC-000209,US-EAST-01,2026-07-10 05:20:00,Minor,Fiber Break,Active,120
INC-000210,ASIA-PAC,2026-07-23 16:35:00,Critical,Fiber Break,Active,180
INC-000211,ASIA-SOUTH,2026-07-20 16:15:00,Critical,Fiber Break,Resolved,480
INC-000212,US-SOUTH-01,2026-07-30 14:00:00,Minor,Hardware Fault,Resolved,180
INC-000213,US-WEST-01,2026-07-20 01:20:00,Critical,Software Bug,Active,180
INC-000214,EMEA-WEST,2026-07-21 00:20:00,Major,Equipment Fault,Resolved,180
INC-000215,US-SOUTH-01,2026-07-30 20:45:00,Warning,Fiber Backbone,Resolved,15
INC-000216,US-WEST-01,2026-07-28 11:05:00,Critical,Power Outage,Resolved,180
INC-000217,ASIA-PAC,2026-07-11 02:20:00,Warning,Software Bug,Resolved,720
INC-000218,ASIA-PAC,2026-07-24 14:15:00,Minor,Equipment Fault,Active,900
INC-000219,US-WEST-01,2026-07-15 15:45:00,Critical,Fiber Break,Active,1080
INC-000220,US-EAST-01,2026-07-21 08:00:00,Critical,Cloud Flare,Active,180
INC-000221,US-SOUTH-01,2026-07-11 16:35:00,Warning,Fiber Backbone,Active,120
INC-000222,US-WEST-01,2026-07-14 17:00:00,Critical,Configuration Error,Active,240
INC-000223,EMEA-EAST,2026-07-31 05:35:00,Warning,Hardware Fault,Resolved,1080
INC-000224,ASIA-PAC,2026-07-15 22:15:00,Minor,Software Bug,Active,150
INC-000225,ASIA-PAC,2026-07-12 16:40:00,Minor,BGP Route,Active,240
INC-000226,EMEA-EAST,2026-07-30 21:05:00,Minor,Fiber Break,Resolved,30
INC-000227,ASIA-SOUTH,2026-07-23 23:25:00,Warning,Software Bug,Resolved,45
INC-000228,EMEA-EAST,2026-07-26 14:00:00,Critical,Software Bug,Resolved,300
INC-000229,US-EAST-01,2026-07-12 02:35:00,Critical,Hardware Fault,Resolved,180
INC-000230,EMEA-WEST,2026-07-10 16:35:00,Warning,Configuration Error,Active,120
INC-000231,ASIA-PAC,2026-07-29 15:40:00,Minor,Fiber Backbone,Resolved,120
INC-000232,ASIA-PAC,2026-07-18 11:45:00,Major,Cloud Flare,Active,300
INC-000233,EMEA-EAST,2026-07-16 05:35:00,Warning,Cloud Flare,Active,1800
INC-000234,EMEA-WEST,2026-07-17 12:15:00,Minor,Equipment Fault,Active,120
INC-000235,ASIA-SOUTH,2026-07-31 22:20:00,Major,Equipment Fault,Resolved,180
INC-000236,US-SOUTH-01,2026-07-29 16:20:00,Critical,Software Bug,Resolved,240
INC-000237,US-WEST-01,2026-07-26 20:20:00,Warning,Hardware Fault,Active,180
INC-000238,ASIA-PAC,2026-07-22 21:10:00,Warning,Software Bug,Resolved,30
INC-000239,US-WEST-01,2026-07-31 17:10:00,Critical,Software Bug,Active,180
INC-000240,US-SOUTH-01,2026-07-14 01:30:00,Critical,Configuration Error,Resolved,180
INC-000241,EMEA-WEST,2026-07-26 12:15:00,Minor,Power Outage,Active,1080
INC-000242,US-EAST-01,2026-07-26 15:40:00,Major,Cloud Flare,Active,1800
INC-000243,US-SOUTH-01,2026-07-12 09:30:00,Critical,BGP Route,Active,600
INC-000244,US-SOUTH-01,2026-07-11 09:20:00,Minor,Software Bug,Resolved,180
INC-000245,ASIA-PAC,2026-07-14 03:30:00,Warning,Scheduled UPS Test,Active,120
INC-000246,US-SOUTH-01,2026-07-22 01:35:00,Minor,Fiber Break,Active,180
INC-000247,ASIA-SOUTH,2026-07-29 16:00:00,Warning,Fiber Backbone,Resolved,360
INC-000248,ASIA-SOUTH,2026-07-30 18:20:00,Major,Fiber Break,Active,180
INC-000249,ASIA-SOUTH,2026-07-21 02:40:00,Major,Software Bug,Resolved,300
INC-000250,ASIA-PAC,2026-07-25 13:00:00,Warning,Cloud Flare,Resolved,240
INC-000251,ASIA-PAC,2026-07-22 14:25:00,Warning,Power Outage,Active,900
INC-000252,ASIA-PAC,2026-07-29 22:40:00,Critical,Fiber Break,Active,1200
INC-000253,US-EAST-01,2026-07-11 10:30:00,Major,Scheduled UPS Test,Resolved,180
INC-000254,ASIA-SOUTH,2026-07-19 01:40:00,Major,Configuration Error,Resolved,1800
INC-000255,US-SOUTH-01,2026-07-21 18:10:00,Minor,BGP Route,Active,120
INC-000256,US-SOUTH-01,2026-07-26 04:00:00,Warning,Hardware Fault,Active,1200
INC-000257,US-WEST-01,2026-07-29 17:15:00,Warning,BGP Route,Resolved,240
INC-000258,US-WEST-01,2026-07-25 10:25:00,Critical,Scheduled UPS Test,Resolved,300
INC-000259,ASIA-PAC,2026-07-21 01:20:00,Major,Scheduled UPS Test,Resolved,180
INC-000260,ASIA-PAC,2026-07-13 16:20:00,Minor,Software Bug,Active,1800
INC-000261,ASIA-SOUTH,2026-07-31 00:00:00,Warning,Power Outage,Active,120
INC-000262,ASIA-SOUTH,2026-07-22 19:40:00,Minor,Scheduled UPS Test,Active,360
INC-000263,US-EAST-01,2026-07-20 01:45:00,Major,Software Bug,Active,900
INC-000264,US-EAST-01,2026-07-20 03:10:00,Major,Hardware Fault,Active,900
INC-000265,US-EAST-01,2026-07-24 20:35:00,Critical,Cloud Flare,Resolved,180
INC-000266,ASIA-PAC,2026-07-18 20:35:00,Warning,Fiber Break,Resolved,60
INC-000267,US-SOUTH-01,2026-07-12 23:00:00,Major,Software Bug,Resolved,600
INC-000268,US-WEST-01,2026-07-10 10:25:00,Warning,Configuration Error,Active,150
INC-000269,US-WEST-01,2026-07-21 05:05:00,Major,Equipment Fault,Resolved,360
INC-000270,EMEA-EAST,2026-07-26 02:45:00,Warning,Hardware Fault,Resolved,45
INC-000271,US-WEST-01,2026-07-24 07:05:00,Major,Configuration Error,Resolved,180
INC-000272,US-SOUTH-01,2026-07-22 02:45:00,Critical,Configuration Error,Resolved,180
INC-000273,ASIA-PAC,2026-07-13 06:05:00,Major,Cloud Flare,Resolved,180
INC-000274,ASIA-SOUTH,2026-07-31 05:10:00,Major,Fiber Break,Resolved,1080
INC-000275,US-EAST-01,2026-07-10 22:20:00,Warning,Fiber Backbone,Active,120
INC-000276,US-EAST-01,2026-07-30 17:45:00,Minor,BGP Route,Active,1800
INC-000277,EMEA-WEST,2026-07-28 11:05:00,Critical,Fiber Break,Resolved,240
INC-000278,US-WEST-01,2026-07-21 09:05:00,Minor,Scheduled UPS Test,Active,120
INC-000279,US-SOUTH-01,2026-07-31 13:40:00,Minor,Power Outage,Active,360
INC-000280,ASIA-PAC,2026-07-23 01:35:00,Minor,Fiber Break,Active,120
INC-000281,ASIA-SOUTH,2026-07-15 11:25:00,Critical,Configuration Error,Resolved,180
INC-000282,US-WEST-01,2026-07-15 00:15:00,Warning,BGP Route,Resolved,240
INC-000283,EMEA-EAST,2026-07-24 09:25:00,Minor,Hardware Fault,Active,900
INC-000284,ASIA-PAC,2026-07-21 23:10:00,Warning,Fiber Break,Active,900
INC-000285,US-WEST-01,2026-07-11 15:40:00,Warning,Software Bug,Resolved,90
INC-000286,US-EAST-01,2026-07-23 21:30:00,Major,Cloud Flare,Resolved,180
INC-000287,ASIA-PAC,2026-07-15 11:30:00,Minor,Configuration Error,Active,120
INC-000288,US-EAST-01,2026-07-11 09:45:00,Minor,Configuration Error,Active,120
INC-000289,EMEA-WEST,2026-07-20 02:20:00,Warning,Scheduled UPS Test,Resolved,900
INC-000290,US-EAST-01,2026-07-26 02:20:00,Minor,BGP Route,Active,240
INC-000291,US-SOUTH-01,2026-07-29 09:30:00,Warning,Fiber Break,Active,180
INC-000292,US-EAST-01,2026-07-25 01:10:00,Warning,Power Outage,Resolved,120
INC-000293,ASIA-SOUTH,2026-07-29 07:30:00,Minor,Cloud Flare,Resolved,360
INC-000294,ASIA-PAC,2026-07-28 17:40:00,Minor,Fiber Break,Active,120
INC-000295,EMEA-EAST,2026-07-19 10:00:00,Major,Power Outage,Active,1800
INC-000296,US-WEST-01,2026-07-31 21:05:00,Minor,Software Bug,Active,180
INC-000297,US-EAST-01,2026-07-22 00:00:00,Warning,Fiber Break,Resolved,30
INC-000298,US-WEST-01,2026-07-18 22:05:00,Critical,Fiber Break,Active,300
INC-000299,ASIA-SOUTH,2026-07-13 10:40:00,Warning,Equipment Fault,Active,1440
INC-000300,EMEA-WEST,2026-07-10 22:30:00,Critical,Fiber Backbone,Active,360
INC-000301,ASIA-PAC,2026-07-23 20:30:00,Warning,Hardware Fault,Resolved,150
INC-000302,ASIA-PAC,2026-07-28 07:30:00,Minor,Scheduled UPS Test,Active,120
INC-000303,EMEA-EAST,2026-07-25 21:25:00,Warning,Fiber Break,Active,360
INC-000304,EMEA-EAST,2026-07-29 02:45:00,Minor,Fiber Backbone,Active,150
INC-000305,US-SOUTH-01,2026-07-21 06:05:00,Warning,Software Bug,Resolved,75
